cell_id,row_index,cell_type
9663676416500,0,mPDAC
9663676416550,1,mPDAC
9663676416600,2,ePDAC
9663676416650,3,myCAFs
9663676416700,4,mPDAC
9663676416750,5,ePDAC
9663676416800,6,ePDAC
9663676416850,7,myCAFs
9663676416900,8,mPDAC
9663676416950,9,ePDAC
9663676417000,10,mPDAC
9663676417050,11,mPDAC
9663676417100,12,mPDAC
9663676417150,13,mPDAC
9663676417250,14,mPDAC
9663676417300,15,ePDAC
9663676417350,16,mPDAC
9663676417400,17,mPDAC
9663676417450,18,mPDAC
9663676417500,19,ePDAC
9663676417600,20,mPDAC
9663676417650,21,mPDAC
9663676417700,22,myCAFs
9663676417750,23,mPDAC
9663676417850,24,mPDAC
9663676417900,25,mPDAC
9878424781300,26,mPDAC
9878424781350,27,myCAFs
9878424781400,28,ePDAC
9878424781450,29,mPDAC
9878424781500,30,myCAFs
9878424781550,31,mPDAC
9878424781600,32,mPDAC
9878424781650,33,mPDAC
9878424781700,34,mPDAC
9878424781750,35,mPDAC
9878424781800,36,B cells
9878424781850,37,mPDAC
9878424781900,38,ePDAC
9878424781950,39,mPDAC
9878424782000,40,mPDAC
9878424782050,41,mPDAC
9878424782100,42,mPDAC
9878424782150,43,ePDAC
9878424782200,44,mPDAC
9878424782250,45,mPDAC
9878424782300,46,ePDAC
9878424782350,47,myCAFs
9878424782400,48,ePDAC
9878424782450,49,iCAF
9878424782500,50,M2 Macrophage
9878424782550,51,mPDAC
9878424782600,52,mPDAC
9878424782650,53,mPDAC
9878424782700,54,ePDAC
9878424782750,55,mPDAC
9878424782800,56,mPDAC
9878424782850,57,mPDAC
9878424782900,58,mPDAC
9878424782950,59,mPDAC
9878424783000,60,Tregs
9878424783050,61,mPDAC
9878424783100,62,ePDAC
9878424783150,63,mPDAC
9878424783200,64,mPDAC
9878424783250,65,apCAFs
9878424783300,66,ePDAC
9878424783350,67,mPDAC
9878424783400,68,mPDAC
9878424783450,69,mPDAC
9878424783500,70,ePDAC
9878424783550,71,mPDAC
9878424783600,72,ePDAC
9878424783650,73,mPDAC
9878424783700,74,mPDAC
9878424783750,75,apCAFs
9878424783800,76,myCAFs
9878424783850,77,mPDAC
9878424783900,78,mPDAC
9878424783950,79,Endothelial cells
9878424784000,80,apCAFs
9878424784050,81,ePDAC
9878424784100,82,mPDAC
9878424784150,83,apCAFs
9878424784200,84,mPDAC
9878424787850,85,Tregs
9878424787900,86,mPDAC
9878424787950,87,ePDAC
9878424788000,88,Tregs
9878424788050,89,mPDAC
9878424788100,90,mPDAC
9878424788150,91,mPDAC
9878424788200,92,mPDAC
9878424788250,93,mPDAC
9878424788300,94,mPDAC
9878424788350,95,mPDAC
9878424788400,96,mPDAC
9878424788450,97,mPDAC
9878424788500,98,mPDAC
9878424788550,99,mPDAC
9878424788600,100,mPDAC
9878424788650,101,mPDAC
9878424788700,102,mPDAC
9878424788750,103,mPDAC
9878424788800,104,mPDAC
9878424788850,105,myCAFs
9878424788900,106,iCAF
9878424788950,107,mPDAC
9878424789000,108,mPDAC
9878424789050,109,mPDAC
9878424789100,110,ePDAC
9878424789200,111,Tregs
9878424789250,112,mPDAC
9878424789300,113,mPDAC
9878424789350,114,mPDAC
9878424789450,115,mPDAC
9878424789600,116,mPDAC
9878424790400,117,mPDAC
9878424790450,118,myCAFs
10093173146150,119,mPDAC
10093173146200,120,Tregs
10093173146250,121,mPDAC
10093173146300,122,ePDAC
10093173146350,123,ePDAC
10093173146400,124,mPDAC
10093173146450,125,mPDAC
10093173146500,126,M2 Macrophage
10093173146550,127,ePDAC
10093173146600,128,mPDAC
10093173146650,129,myCAFs
10093173146700,130,mPDAC
10093173146750,131,mPDAC
10093173146800,132,ePDAC
10093173146850,133,mPDAC
10093173146900,134,ePDAC
10093173146950,135,mPDAC
10093173147000,136,ePDAC
10093173147050,137,apCAFs
10093173147100,138,apCAFs
10093173147150,139,mPDAC
10093173147200,140,mPDAC
10093173147250,141,myCAFs
10093173147300,142,mPDAC
10093173147350,143,iCAF
10093173147400,144,ePDAC
10093173147450,145,myCAFs
10093173147500,146,M2 Macrophage
10093173147550,147,iCAF
10093173147600,148,myCAFs
10093173147650,149,ePDAC
10093173147700,150,Endothelial cells
10093173147750,151,mPDAC
10093173147800,152,mPDAC
10093173147850,153,ePDAC
10093173147900,154,mPDAC
10093173147950,155,myCAFs
10093173148000,156,ePDAC
10093173148050,157,Tregs
10093173148100,158,mPDAC
10093173148150,159,mPDAC
10093173148200,160,mPDAC
10093173148250,161,mPDAC
10093173148300,162,M2 Macrophage
